Issue Type,Issue Id,Summary,Description,Epic Name,Epic Link,Parent Id,Labels,Story Points,Blocks,Requirements
Sub-task,US-03-1,"Declare routes in contract-note-foundation.ts: contract-note-data-sources root (+ {database}/{table}/columns), data-sources under templates/{templateId}, data-source-dependencies under shared-sections/{id}; extend ContractNoteApiRoutes with DataSourceRouteResources",,,,US-03,,,,7
Sub-task,US-03-2,"Implement list-available handler (Glue client -> [{database, tableName, columnCount}])",,,,US-03,,,,"1,7"
Sub-task,US-03-3,Implement get-columns handler (column names + types for a table),,,,US-03,,,,7
Sub-task,US-03-4,Implement attach-data-source handler (validate table exists + has bryt_number; write DATASOURCE record),,,,US-03,,,,"2,7"
Sub-task,US-03-5,"Implement detach-data-source handler (scan all sections' variants for referencing fields; 409 with affected section+variant list, else remove)",,,,US-03,,,,"2,7"
Sub-task,US-03-6,Implement list-attached handler (query DATASOURCE records for a template),,,,US-03,,,,"2,7"
Sub-task,US-03-7,Implement list-shared-section-deps handler (query DATASOURCE_DEP records),,,,US-03,,,,4
Sub-task,US-03-8,"Create DataSourceApi CDK construct (per-op NodejsFunctions, grant table/Glue/Athena/AssumeRole, wire LambdaIntegrations, pass PROJECT_ROLE_ARN + Athena config); instantiate in contract-note-stack.ts",,,,US-03,,,,"6,7"
Sub-task,US-03-9,Property tests for data source API (Property 2: attachment round-trip; Property 3: detachment with variant-field-in-use warning),,,,US-03,optional,,,2
Story,US-05,Render pipeline enrichment (new Step Functions state),"As a system operator, I want a new enrich-data-sources state between select-template and render-sections that queries each attached data source by BrytNumber via Athena and merges the results into ContractData, so that data source fields populate on the PDF.",,contract-note-data-source-extensibility,,backend pipeline,1.5,US-08,5
Sub-task,US-05-1,"Implement Athena query executor (api/src/render/athena-client.ts): assume Project Role; run SELECT * FROM {db}.{table} WHERE bryt_number = ? LIMIT 1; parse rows; no rows -> empty, multiple -> first+warn, error -> throw",,,,US-05,,,,5
Sub-task,US-05-2,Implement enrich-data-sources handler (api/src/render/enrich-data-sources.ts): read template DATASOURCE records; none -> pass through; extract customerreference; query each source concurrently; merge under {table}.{column},,,,US-05,,,,5
Sub-task,US-05-3,"Wire the state into render-pipeline.ts: add EnrichDataSourcesHandler NodejsFunction, insert between selectTemplate and renderSections, add to handle-failure catch array, grant table read + Athena/AssumeRole",,,,US-05,,,,5
Sub-task,US-05-4,Property tests for enrichment (Property 7: namespaced data; 8: empty pass-through; 9: empty rows continue; 10: failure routes to handle-failure),,,,US-05,optional,,,5
Story,US-06,Frontend: Template Edit data sources panel,"As a Business_User, I want a Data Sources panel on the template edit screen to view, attach and detach data sources (with an in-use warning), so that a template's sections can reference their fields.",,contract-note-data-source-extensibility,,frontend,1.5,"US-07,US-08",2
Sub-task,US-06-1,"Implement DataSourceService (list available, get columns, attach/detach, list attached, list shared-section deps) wired to the API Gateway endpoints",,,,US-06,,,,"1,2"
Sub-task,US-06-2,Extend template-edit component with a Data Sources panel (show attached; [+ Attach] picker; detach with confirmation warning if a variant references its fields; available regardless of DRAFT/PUBLISHED),,,,US-06,,,,2
Sub-task,US-06-3,"Implement data source picker dialog (available sources excluding attached, with table/database/column count)",,,,US-06,,,,2
Story,US-07,Frontend: section-variant editor field browser & shared-section deps,"As a Business_User, I want data source fields in the section-variant editor palette, a missing-dependency prompt when adding a shared section, and dependencies shown on the shared section detail screen, so that I can design enriched sections safely.",,contract-note-data-source-extensibility,,frontend,1.5,US-08,"3,4"
Sub-task,US-07-1,"Surface data source fields in the pdfme-designer palette for the edited variant: collapsible groups per data source; fields labelled {table}.{column} with type, visually distinct; placed fields use the namespaced name",,,,US-07,,,,3
Sub-task,US-07-2,"Implement shared section attachment dependency check: on adding a shared section, read its DATASOURCE_DEP records; if the template is missing required sources, prompt to add them first",,,,US-07,,,,4
Sub-task,US-07-3,Display data source dependencies on the shared section detail screen,,,,US-07,,,,4
Sub-task,US-07-4,Property tests for frontend logic (Property 4: field availability scoped to attachments; Property 6: missing dependency enforcement),,,,US-07,optional,,,"2,3,4"
Story,US-08,Integration wiring & end-to-end validation,"As a developer, I want all components deployed and wired (API Gateway routes, Lambda->Project Role assume, Athena workgroup/results bucket, env vars) with end-to-end tests, so that the data source feature works as a whole.",,contract-note-data-source-extensibility,,infra integration,1.0,,6
Sub-task,US-08-1,"Finalise CDK deployment: confirm API Gateway routes, Lambda->Project Role assume, Athena workgroup/results bucket, and env vars are all wired in the stack",,,,US-08,,,,6
Sub-task,US-08-2,Integration tests: subscribe Glue table -> appears; attach -> drop XML -> enriched fields render; remove bryt_number -> filtered out; force Athena error -> handle-failure,,,,US-08,optional,,,"1,5"
