Issue Type,Issue Id,Summary,Description,Epic Name,Epic Link,Parent Id,Labels,Story Points,Blocks,Requirements
Sub-task,US-06-4,"Section variant selection (first match, default fallback)",,,,US-06,,,,19
Sub-task,US-06-5,PDF stitcher (pdf-lib),,,,US-06,,,,13
Sub-task,US-06-6,Step Functions state handlers + Map state + failure state,,,,US-06,,,,20
Sub-task,US-06-7,XML-to-JSON parse + S3 trigger,,,,US-06,,,,14
Sub-task,US-06-8,"Property tests: evaluation, variants, stitching, failure isolation",,,,US-06,optional,,,"11,12,13,14,19,20"
Story,US-07,pdf-me Designer web component,"As a Business_User, I want an embedded visual designer, so that I can position fields on a section layout without developer help.",,contract-note-template-management,,frontend,1.0,US-09,7
Sub-task,US-07-1,<pdfme-designer> web component wrapping the React pdf-me Designer,,,,US-07,,,,7
Sub-task,US-07-2,schema-json in / schema-save event out; on-demand bundle load,,,,US-07,,,,7
Story,US-08,"Angular module, routing & services","As a Business_User, I want the contract-note admin module wired into the portal with auth-guarded routes and API services, so that the screens have data and access is restricted.",,contract-note-template-management,,frontend,1.0,US-09,15
Sub-task,US-08-1,ContractNoteModule with routes + Cognito group route guard,,,,US-08,,,,15
Sub-task,US-08-2,"TemplateService, SectionService, RulesService wired to the API",,,,US-08,,,,15
Story,US-09,Angular screens & components,"As a Business_User, I want the full set of screens (template list, template edit, rules config, section editor, shared sections, version history, variants, publish) and navigation, so that I can manage everything from the portal.",,contract-note-template-management,,frontend,3.0,US-10,"1,2,3,4,5,6,7,8,9,10,16,17,18,19,21"
Sub-task,US-09-1,TemplateListComponent (landing page),,,,US-09,,,,"1,4,5"
Sub-task,US-09-2,TemplateEditComponent + change log + variant list,,,,US-09,,,,"2,3,6,17,19"
Sub-task,US-09-3,RulesConfigComponent (shared by template + variant rules),,,,US-09,,,,10
Sub-task,US-09-4,SectionEditorComponent host (modal),,,,US-09,,,,7
Sub-task,US-09-5,SharedSectionsComponent + detail,,,,US-09,,,,"8,9"
Sub-task,US-09-6,SectionVersionHistoryComponent + SectionPublishComponent,,,,US-09,,,,"16,18"
Sub-task,US-09-7,Navigation + landing pages (page vs modal),,,,US-09,,,,21
Sub-task,US-09-8,Component unit tests,,,,US-09,optional,,,"1,10,18,19"
Story,US-10,Integration wiring & end-to-end validation,"As a developer, I want all components deployed and wired (IAM, S3 trigger, API Gateway, portal navigation) with end-to-end tests, so that the feature works as a whole.",,contract-note-template-management,,infra integration,1.0,,"14,15,20"
Sub-task,US-10-1,"CDK deployment wiring: IAM, S3-triggered state machine, API routes, CORS",,,,US-10,,,,"14,20"
Sub-task,US-10-2,Portal sidebar navigation entry (Cognito-gated),,,,US-10,,,,15
Sub-task,US-10-3,End-to-end pipeline integration tests,,,,US-10,optional,,,14
